FID_,osm_id,lastchange,code,fclass,name,ref,oneway,maxspeed,layer,bridge,tunnel
,40948926, ,5121,unclassified,Strada Câmpului,,0,50,0,0,0
,40949518, ,5122,residential,Strada Mărășești,,0,50,0,0,0
,40949520, ,5115,tertiary,Bulevardul Nicolae Bălcescu,,0,0,0,0,0
,40949525, ,5115,tertiary,Strada Matei Basarab,,0,0,0,0,0
,40949526, ,5115,tertiary,Strada Matei Basarab,,0,0,0,0,0
,40949548, ,5115,tertiary,Strada Mihai Viteazul,,0,0,0,0,0
,40949549, ,5122,residential,Strada Grigore Procopiu,,0,50,0,0,0
,40949605, ,5122,residential,Strada Doctor Hacman,,0,0,0,0,0
,40949620, ,5115,tertiary,Strada Nicolae Titulescu,,0,0,0,0,0
,40952133, ,5122,residential,Strada Martir Ion Tănase (1949),,0,0,0,0,0
,40952135, ,5122,residential,Strada Jules Verne,,0,0,0,0,0
,40952199, ,5122,residential,Strada Micsunelelor,,0,0,0,0,0
,40953100, ,5122,residential,Strada Matei Basarab,,0,60,0,0,0
,40953112, ,5122,residential,Strada Mărășești,,0,0,0,0,0
,40953113, ,5122,residential,Strada Iezerului,,0,0,0,0,0
,40953115, ,5122,residential,Strada 9 Mai,,0,0,0,0,0
,40953116, ,5122,residential,Strada 1 Mai,,0,0,0,0,0
,40956316, ,5122,residential,Strada Vasile Pârvan,,1,30,0,0,0
,40956322, ,5122,residential,Strada Mărășești,,0,0,0,0,0
,40956367, ,5114,secondary,Strada Oituz,DJ391,0,50,0,0,0
,40956388, ,5122,residential,Strada Oituz,,0,0,0,0,0
,40956398, ,5122,residential,Strada Portului,,0,0,0,0,0
,40956684, ,5122,residential,Constantin Brâncuși,,0,0,0,0,0
,40956715, ,5122,residential,Constantin Brâncuși,,0,0,0,0,0
,40956846, ,5114,secondary,Strada Oituz,DJ391,0,0,0,0,0
,40957114, ,5122,residential,Strada Gheorghe Netoi,,0,0,0,0,0
,40957218, ,5122,residential,Strada Albatros,,0,0,0,0,0
,40957322, ,5122,residential,Strada General Boerescu,,0,0,0,0,0
,40957341, ,5122,residential,Strada Ștefan cel Mare,,0,0,0,0,0
,40957367, ,5122,residential,Strada General Vârtejan,,0,0,0,0,0
,40957375, ,5122,residential,Strada 11 Iunie,,0,0,0,0,0
,40957474, ,5122,residential,Strada Griviței,,0,0,0,0,0
,40957518, ,5122,residential,Strada Panduri,,0,0,0,0,0
,40957577, ,5122,residential,Alee Acces,,0,0,0,0,0
,40957963, ,5122,residential,Strada Crinului,,0,0,0,0,0
,40957972, ,5122,residential,Strada Crușoveanu,,0,0,0,0,0
,40973122, ,5141,service,Independenței,,0,0,0,0,0
,40973123, ,5141,service,Scorușului,,0,0,0,0,0
,40973125, ,5141,service,Aluniș,,0,0,0,0,0
,40973127, ,5141,service,Ghioceilor,,0,0,0,0,0
,40973129, ,5122,residential,Dealu Negru,,0,0,0,0,0
,40973130, ,5141,service,Vulturilor,,0,0,0,0,0
,40973132, ,5141,service,Telefericului,,0,0,0,0,0
,40984737, ,5122,residential,Botanist Procopeanu Procopovici,,0,0,0,0,0
,40984738, ,5141,service,Minelor,,0,0,0,0,0
,40984741, ,5141,service,Nicolae Bălcescu,,0,0,0,0,0
,40984743, ,5141,service,Molidului,,0,0,0,0,0
,40984745, ,5122,residential,Petreni,,0,0,0,0,0
,40984746, ,5141,service,Petreni,,0,0,0,0,0
,40984747, ,5141,service,Silvicultorului,,0,0,0,0,0
,40984748, ,5141,service,Arcașului,,0,0,0,0,0
,40984749, ,5141,service,Plopilor,,0,0,0,0,0
,40984750, ,5141,service,Piscului,,0,0,0,0,0
,40984751, ,5141,service,Piscului,,0,0,0,0,0
,40984752, ,5141,service,Piscului,,0,0,0,0,0
,40984829, ,5122,residential,Strada Mircea cel Bătrân,,0,0,0,0,0
,40984960, ,5142,track,Silvicultorului,,0,0,0,0,0
,40985309, ,5122,residential,Strada Vânători,,0,0,0,0,0
,40985348, ,5122,residential,Strada Teilor,,0,0,0,0,0
,40985570, ,5122,residential,Strada Mihai Eminescu,,0,0,0,0,0
,40985884, ,5141,service,Petreni,,0,0,0,0,0
,40985965, ,5122,residential,Strada Petru Maior,,0,0,0,0,0
,40985966, ,5122,residential,Strada Petru Maior,,0,0,0,0,0
,40985976, ,5122,residential,Strada Petru Maior,,0,0,0,0,0
,40986011, ,5122,residential,Strada Libertății,,0,0,0,0,0
,40986115, ,5122,residential,Strada George Murnu,,0,0,0,0,0
,40986921, ,5122,residential,Strada Theofil Sauciuc Săveanu,,0,0,0,0,0
,40986934, ,5122,residential,Strada Libertății,,0,0,0,0,0
,40987026, ,5122,residential,Aleea Farului,,0,0,0,0,0
,40987226, ,5122,residential,Strada Delfinului,,0,0,0,0,0
,40987273, ,5122,residential,Strada Mihail Kogălniceanu,,0,0,0,0,0
