FID_	osm_id	lastchange	code	fclass	name	ref	oneway	maxspeed	layer	bridge	tunnel
	23733680	 	5122	residential	Strada Gorgan Spatarul		0	0	0	0	0
	23733686	 	5122	residential	Strada Maliuc		0	0	0	0	0
	23733694	 	5122	residential	Strada Oituz		0	0	0	0	0
	23733698	 	5122	residential	Strada Erou Floruta Ion		0	0	0	0	0
	23733700	 	5122	residential	Strada Magneziului		0	0	0	0	0
	23733704	 	5115	tertiary	Ghirghitei		0	0	0	0	0
	23733715	 	5115	tertiary	Strada Gherghiței		0	0	0	0	0
	23733720	 	5122	residential	Strada Tesatoarelor		0	0	0	0	0
	23733740	 	5122	residential	Strada Cumpenei		0	0	0	0	0
	23733746	 	5122	residential	Strada Călmățui		0	0	0	0	0
	23733751	 	5122	residential	Strada Escalei		0	0	0	0	0
	23733769	 	5122	residential	Strada Porțile de Fier		0	0	0	0	0
	23733772	 	5122	residential	Strada Periș		0	0	0	0	0
	23733779	 	5122	residential	Strada Mentiunii		0	0	0	0	0
	23734720	 	5122	residential	Strada Scortan Ion		0	0	0	0	0
	23734758	 	5122	residential	Strada Ropotului		0	0	0	0	0
	23734762	 	5122	residential	Strada Tușnad		0	0	0	0	0
	23734775	 	5122	residential	Strada Fructelor		0	0	0	0	0
	23734784	 	5122	residential	Strada Gătaia		0	0	0	0	0
	23734791	 	5122	residential	Strada Ciberneticii		0	0	0	0	0
	23734792	 	5122	residential	Strada Pietroasa		0	0	0	0	0
	23734798	 	5122	residential	Strada Gaterului		0	0	0	0	0
	23735946	 	5122	residential	Strada Erou Bogorin Constantin		0	0	0	0	0
	23735961	 	5122	residential	Strada Toporului		0	0	0	0	0
	23735982	 	5122	residential	Strada Ochisoru		0	0	0	0	0
	23735987	 	5122	residential	Strada Teslei		0	0	0	0	0
	23735994	 	5122	residential	Strada Glăvănești		0	0	0	0	0
	23736005	 	5122	residential	Strada Agregatelor		0	0	0	0	0
	23736010	 	5122	residential	Strada Teslei		0	0	0	0	0
	23736017	 	5122	residential	Strada Ovazului		0	0	0	0	0
	23736022	 	5122	residential	Strada Tudor Mihai		0	0	0	0	0
	23736047	 	5122	residential	Strada Negulescu Petre		0	0	0	0	0
	23736058	 	5122	residential	Strada Zamfir Nicolae		0	0	0	0	0
	23736076	 	5122	residential	Strada Căpitan Zamfir Marcu		0	0	0	0	0
	23736087	 	5122	residential	Strada Litoralului		0	0	0	0	0
	23736092	 	5122	residential	Strada Emancipării		0	0	0	0	0
	23736097	 	5122	residential	Strada Soldat Stelian Tomovici		0	0	0	0	0
	23736104	 	5122	residential	Strada Soldat Bara Savu		0	0	0	0	0
	23736113	 	5122	residential	Strada Geicu Ion		0	0	0	0	0
	23736117	 	5122	residential	Strada Căpitan Stângă Ion		0	0	0	0	0
	23736144	 	5122	residential	Strada Coacazelor		0	0	0	0	0
